Measurement,Well,Group,Time,OCR,ECAR,PER,plate_id,Protocol,Interval,LOCR,sample_id,x,fitted,residuals,n,mean_err_sq,median_mean_sq_err,is.out.w,mad_mean_sqE,is.out.p,out
1,A02,Oligomycin-CONBIS#24-POST,1,68.33391270290103,55.7809547193241,0,conbis-#24-post,Olig,Int1,4.224406169013395,24-post-0,4.224406169013395,3.9958783582265154,0.22852781078688023,114,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
2,A02,Oligomycin-CONBIS#24-POST,2,64.92377549496673,47.5521245581419,0,conbis-#24-post,Olig,Int1,4.173213897070095,24-post-0,4.173213897070095,3.99587835822647,0.17733553884362502,114,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
3,A02,Oligomycin-CONBIS#24-POST,3,63.17360319455889,42.2445996270713,0,conbis-#24-post,Olig,Int1,4.145886542931827,24-post-0,4.145886542931827,3.995878358226472,0.1500081847053549,114,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
4,A02,Oligomycin-CONBIS#24-POST,4,24.93404846317165,73.5763304613275,0,conbis-#24-post,Olig,Int2,3.2162342775790176,24-post-0,3.2162342775790176,3.0763603535065958,0.13987392407242172,69,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
5,A02,Oligomycin-CONBIS#24-POST,5,24.23504346261676,80.2894057456621,0,conbis-#24-post,Olig,Int2,3.1877996626778957,24-post-0,3.1877996626778957,3.076360353508926,0.11143930916896966,69,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
6,A02,Oligomycin-CONBIS#24-POST,6,23.39658568866908,79.1567886176501,0,conbis-#24-post,Olig,Int2,3.1525901009770103,24-post-0,3.1525901009770103,3.076360353506547,0.07622974747046343,69,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
7,A02,Oligomycin-CONBIS#24-POST,10,16.54449552319172,75.4497755297825,0,conbis-#24-post,Olig,Int4,2.806053449714495,24-post-0,2.806053449714495,2.8547684864398413,-0.04871503672534652,75,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
8,A02,Oligomycin-CONBIS#24-POST,11,14.792651058307852,80.5917583338129,0,conbis-#24-post,Olig,Int4,2.694130507333902,24-post-0,2.694130507333902,2.8547684864398297,-0.16063797910592773,75,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
9,A02,Oligomycin-CONBIS#24-POST,12,14.31794322352624,81.4078986246624,0,conbis-#24-post,Olig,Int4,2.6615135215747525,24-post-0,2.6615135215747525,2.854768486439799,-0.19325496486504642,75,0.02381089775952504,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
1,A03,FCCP-CONBIS#24-POST,1,67.22780153464483,57.5790741775854,0,conbis-#24-post,FCCP,Int1,4.208086875286514,24-post-0,4.208086875286514,4.103371077534981,0.1047157977515332,114,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
2,A03,FCCP-CONBIS#24-POST,2,62.338463033903835,50.1062535448285,0,conbis-#24-post,FCCP,Int1,4.1325786194620155,24-post-0,4.1325786194620155,4.10337107753492,0.029207541927095508,114,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
3,A03,FCCP-CONBIS#24-POST,3,59.46845942001029,45.5753217615425,0,conbis-#24-post,FCCP,Int1,4.085446078220865,24-post-0,4.085446078220865,4.103371077534909,-0.017924999314044628,114,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
4,A03,FCCP-CONBIS#24-POST,7,134.24669601235578,104.712206471306,0,conbis-#24-post,FCCP,Int3,4.8996791223774165,24-post-0,4.8996791223774165,4.9128361539535765,-0.013157031576160024,45,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
5,A03,FCCP-CONBIS#24-POST,8,134.1762789360824,112.139976997927,0,conbis-#24-post,FCCP,Int3,4.899154449868274,24-post-0,4.899154449868274,4.912836153953579,-0.013681704085304511,45,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
6,A03,FCCP-CONBIS#24-POST,9,131.0283480898778,112.88803315103,0,conbis-#24-post,FCCP,Int3,4.875413697423216,24-post-0,4.875413697423216,4.912836153953583,-0.037422456530366396,45,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
7,A03,FCCP-CONBIS#24-POST,10,21.841878798611056,92.1744198798828,0,conbis-#24-post,FCCP,Int4,3.083829172754146,24-post-0,3.083829172754146,2.9622612057481805,0.1215679670059652,75,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
8,A03,FCCP-CONBIS#24-POST,11,21.00248776026662,96.1039639020471,0,conbis-#24-post,FCCP,Int4,3.044640895481627,24-post-0,3.044640895481627,2.9622612057482383,0.08237968973338851,75,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
9,A03,FCCP-CONBIS#24-POST,12,21.28854815810144,96.6923311642604,0,conbis-#24-post,FCCP,Int4,3.058169282972839,24-post-0,3.058169282972839,2.9622612057481748,0.09590807722466407,75,0.008463315680625574,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
1,A04,FCCP-CONBIS#24-POST,1,69.07996634176322,54.1542998468736,0,conbis-#24-post,FCCP,Int1,4.235264766042737,24-post-0,4.235264766042737,4.1109564312075095,0.12430833483522757,114,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
2,A04,FCCP-CONBIS#24-POST,2,63.76351633155534,46.9601612725484,0,conbis-#24-post,FCCP,Int1,4.155181182452426,24-post-0,4.155181182452426,4.110956431205033,0.04422475124739291,114,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
3,A04,FCCP-CONBIS#24-POST,3,61.00788694074198,43.1960051640261,0,conbis-#24-post,FCCP,Int1,4.111003149926073,24-post-0,4.111003149926073,4.11095643120799,4.67187180828027e-5,114,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
4,A04,FCCP-CONBIS#24-POST,7,149.76543828530578,97.3159567321004,0,conbis-#24-post,FCCP,Int3,5.009070325406679,24-post-0,5.009070325406679,4.920421507627659,0.08864881777901931,45,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
5,A04,FCCP-CONBIS#24-POST,8,154.8666201320924,106.562373358162,0,conbis-#24-post,FCCP,Int3,5.042564231186615,24-post-0,5.042564231186615,4.920421507626218,0.12214272356039799,45,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
6,A04,FCCP-CONBIS#24-POST,9,154.3249465218358,109.017573516162,0,conbis-#24-post,FCCP,Int3,5.039060421750405,24-post-0,5.039060421750405,4.920421507626253,0.11863891412415226,45,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
7,A04,FCCP-CONBIS#24-POST,10,21.608589287310085,89.1407189022925,0,conbis-#24-post,FCCP,Int4,3.0730908878377226,24-post-0,3.0730908878377226,2.9698465594208296,0.10324432841689271,75,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
8,A04,FCCP-CONBIS#24-POST,11,20.996316191327622,93.5380419069713,0,conbis-#24-post,FCCP,Int4,3.0443470028750403,24-post-0,3.0443470028750403,2.969846559420856,0.07450044345418434,75,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
9,A04,FCCP-CONBIS#24-POST,12,20.54555702985614,94.6901911084545,0,conbis-#24-post,FCCP,Int4,3.0226447146403133,24-post-0,3.0226447146403133,2.9698465594208647,0.05279815521944844,75,0.012430041951113508,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
1,A05,Glycolysis-CONBIS#24-POST,1,51.00918428581033,50.8929610626459,0,conbis-#24-post,Glyco,Int1,3.932005700546639,24-post-0,3.932005700546639,3.965704291383463,-0.03369859083682359,114,0.03940654660249139,0.01520752324601517,FALSE,0.011986575120007666,FALSE,NO
