Measurement,Well,Group,Time,OCR,ECAR,PER,plate_id,Protocol,Interval,LOCR,LECAR,sample_id,x,fitted,residuals,n,mean_err_sq,median_mean_sq_err,is.out.w,mad_mean_sqE,is.out.p,out
1,A02,Oligomycin-CONBIS#24-POST,1,68.33391270290103,55.7809547193241,0,conbis-#24-post,Olig,Int1,4.224406169013395,4.021432497852871,24-post-0,4.021432497852871,3.8223180212109074,0.19911447664196336,126,0.021294521139428358,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
2,A02,Oligomycin-CONBIS#24-POST,2,64.92377549496673,47.5521245581419,0,conbis-#24-post,Olig,Int1,4.173213897070095,3.861826468500971,24-post-0,3.861826468500971,3.8223180212108523,0.03950844729011878,126,0.021294521139428358,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
3,A02,Oligomycin-CONBIS#24-POST,3,63.17360319455889,42.2445996270713,0,conbis-#24-post,Olig,Int1,4.145886542931827,3.743476526155975,24-post-0,3.743476526155975,3.822318021210876,-0.07884149505490065,126,0.021294521139428358,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
4,A02,Oligomycin-CONBIS#24-POST,4,24.93404846317165,73.5763304613275,0,conbis-#24-post,Olig,Int2,3.2162342775790176,4.298323377018595,24-post-0,4.298323377018595,4.231012732103997,0.0673106449145982,84,0.021294521139428358,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
5,A02,Oligomycin-CONBIS#24-POST,5,24.23504346261676,80.2894057456621,0,conbis-#24-post,Olig,Int2,3.1877996626778957,4.38563767881987,24-post-0,4.38563767881987,4.231012732103721,0.1546249467161482,84,0.021294521139428358,0.009350651873353705,FALSE,NA,TRUE,SINGLE
6,A02,Oligomycin-CONBIS#24-POST,6,23.39658568866908,79.1567886176501,0,conbis-#24-post,Olig,Int2,3.1525901009770103,4.371430551665495,24-post-0,4.371430551665495,4.231012732104062,0.14041781956143276,84,0.021294521139428358,0.009350651873353705,FALSE,NA,TRUE,SINGLE
1,A03,FCCP-CONBIS#24-POST,1,67.22780153464483,57.5790741775854,0,conbis-#24-post,FCCP,Int1,4.208086875286514,4.053159206166007,24-post-0,4.053159206166007,NA,NA,NA,NA,NA,TRUE,NA,NA,WELL
2,A03,FCCP-CONBIS#24-POST,2,62.338463033903835,50.1062535448285,0,conbis-#24-post,FCCP,Int1,4.1325786194620155,3.9141458215553566,24-post-0,3.9141458215553566,NA,NA,NA,NA,NA,TRUE,NA,NA,WELL
3,A03,FCCP-CONBIS#24-POST,3,59.46845942001029,45.5753217615425,0,conbis-#24-post,FCCP,Int1,4.085446078220865,3.8193663805846207,24-post-0,3.8193663805846207,NA,NA,NA,NA,NA,TRUE,NA,NA,WELL
1,A04,FCCP-CONBIS#24-POST,1,69.07996634176322,54.1542998468736,0,conbis-#24-post,FCCP,Int1,4.235264766042737,3.9918373765156114,24-post-0,3.9918373765156114,3.8128566443889844,0.17898073212662716,126,0.013017470208791898,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
2,A04,FCCP-CONBIS#24-POST,2,63.76351633155534,46.9601612725484,0,conbis-#24-post,FCCP,Int1,4.155181182452426,3.84929960976753,24-post-0,3.84929960976753,3.8128566443889924,0.036442965378537646,126,0.013017470208791898,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
3,A04,FCCP-CONBIS#24-POST,3,61.00788694074198,43.1960051640261,0,conbis-#24-post,FCCP,Int1,4.111003149926073,3.7657480179192167,24-post-0,3.7657480179192167,3.8128566443889884,-0.047108626469771986,126,0.013017470208791898,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
1,A05,Glycolysis-CONBIS#24-POST,1,51.00918428581033,50.8929610626459,0,conbis-#24-post,Glyco,Int1,3.932005700546639,3.929724624458154,24-post-0,3.929724624458154,3.8111582862322986,0.11856633822585518,126,0.0074558019865584935,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
2,A05,Glycolysis-CONBIS#24-POST,2,49.47005916122123,42.6033924106286,0,conbis-#24-post,Glyco,Int1,3.901367621139877,3.7519338841570167,24-post-0,3.7519338841570167,3.8111582862322577,-0.05922440207524113,126,0.0074558019865584935,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
3,A05,Glycolysis-CONBIS#24-POST,3,49.16178280443269,38.3304750143067,0,conbis-#24-post,Glyco,Int1,3.895116549386737,3.646245272070871,24-post-0,3.646245272070871,3.8111582862322475,-0.16491301416137635,126,0.0074558019865584935,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
4,A05,Glycolysis-CONBIS#24-POST,4,19.47089891648293,67.104348074904,0,conbis-#24-post,Glyco,Int2,2.9689209876292235,4.206248841802266,24-post-0,4.206248841802266,4.219852997125441,-0.013604155323175727,84,0.0074558019865584935,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
5,A05,Glycolysis-CONBIS#24-POST,5,18.01574817555358,71.6414291280347,0,conbis-#24-post,Glyco,Int2,2.8912462740372966,4.27167352573774,24-post-0,4.27167352573774,4.219852997125396,0.05182052861234429,84,0.0074558019865584935,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
6,A05,Glycolysis-CONBIS#24-POST,6,17.40699897179591,68.6698531148784,0,conbis-#24-post,Glyco,Int2,2.8568723651021446,4.2293102836304195,24-post-0,4.2293102836304195,4.219852997125422,0.009457286504997607,84,0.0074558019865584935,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
8,A05,Glycolysis-CONBIS#24-POST,14,17.65622141587505,24.4602813380451,0,conbis-#24-post,Glyco,Int5,2.871088209421513,3.1970506321571106,24-post-0,3.1970506321571106,3.13148731782266,0.06556331433445058,28,0.0074558019865584935,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
9,A05,Glycolysis-CONBIS#24-POST,15,17.64786419223576,21.2028833865083,0,conbis-#24-post,Glyco,Int5,2.8706147671186497,3.05413718122717,24-post-0,3.05413718122717,3.1314873178226295,-0.07735013659545938,28,0.0074558019865584935,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
1,A06,Glycolysis-CONBIS#24-POST,1,60.53261849746083,54.6543306923239,0,conbis-#24-post,Glyco,Int1,4.1031823684667055,4.001028455624231,24-post-0,4.001028455624231,3.7594272093304992,0.2416012462937313,126,0.008208699258101984,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
2,A06,Glycolysis-CONBIS#24-POST,2,58.12867080583713,46.3115354998381,0,conbis-#24-post,Glyco,Int1,4.0626590155622235,3.835391076925016,24-post-0,3.835391076925016,3.7594272093305485,0.07596386759446758,126,0.008208699258101984,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
3,A06,Glycolysis-CONBIS#24-POST,3,53.74893929900479,40.5109351793337,0,conbis-#24-post,Glyco,Int1,3.984323932841051,3.7015719420958506,24-post-0,3.7015719420958506,3.7594272093306835,-0.05785526723483293,126,0.008208699258101984,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
4,A06,Glycolysis-CONBIS#24-POST,4,23.54040245695603,64.4610547624719,0,conbis-#24-post,Glyco,Int2,3.158718198413087,4.16606123930759,24-post-0,4.16606123930759,4.1681219202232915,-0.002060680915701588,84,0.008208699258101984,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
5,A06,Glycolysis-CONBIS#24-POST,5,22.214381544394797,71.1304077641372,0,conbis-#24-post,Glyco,Int2,3.1007398964502566,4.264514921389433,24-post-0,4.264514921389433,4.168121920223642,0.09639300116579141,84,0.008208699258101984,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
6,A06,Glycolysis-CONBIS#24-POST,6,21.73445928812001,68.7505881815121,0,conbis-#24-post,Glyco,Int2,3.0788989866581065,4.230485291877533,24-post-0,4.230485291877533,4.16812192022365,0.062363371653881956,84,0.008208699258101984,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
8,A06,Glycolysis-CONBIS#24-POST,14,21.664078701849654,23.7699060672119,0,conbis-#24-post,Glyco,Int5,3.0756555295634453,3.1684203296273106,24-post-0,3.1684203296273106,3.0797562409208745,0.0886640887064362,28,0.008208699258101984,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
9,A06,Glycolysis-CONBIS#24-POST,15,21.67377424832914,20.8417625463359,0,conbis-#24-post,Glyco,Int5,3.0761029696640145,3.036958788468961,24-post-0,3.036958788468961,3.079756240920869,-0.042797452451908344,28,0.008208699258101984,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
1,B01,Oligomycin-CONBIS#24-POST,1,63.16753043466153,53.959615579207,0,conbis-#24-post,Olig,Int1,4.145790410188236,3.988235907133433,24-post-0,3.988235907133433,3.7394799559706455,0.24875595116278743,126,0.009893623105455373,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
2,B01,Oligomycin-CONBIS#24-POST,2,55.311033162213036,47.3433507408432,0,conbis-#24-post,Olig,Int1,4.012972403315278,3.857426381911472,24-post-0,3.857426381911472,3.7394799559706398,0.11794642594083224,126,0.009893623105455373,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
3,B01,Oligomycin-CONBIS#24-POST,3,53.39681470714788,43.740207737786,0,conbis-#24-post,Olig,Int1,3.977751094508158,3.7782677646151672,24-post-0,3.7782677646151672,3.7394799559706406,0.03878780864452664,126,0.009893623105455373,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
4,B01,Oligomycin-CONBIS#24-POST,4,17.91909128051013,67.5603646421216,0,conbis-#24-post,Olig,Int2,2.885866696468038,4.213021489232932,24-post-0,4.213021489232932,4.148174666863797,0.06484682236913476,84,0.009893623105455373,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
5,B01,Oligomycin-CONBIS#24-POST,5,16.333136869998988,73.980685580049,0,conbis-#24-post,Olig,Int2,2.7931959810027664,4.303804053461247,24-post-0,4.303804053461247,4.148174666863787,0.15562938659746042,84,0.009893623105455373,0.009350651873353705,FALSE,0.0050502595828242226,FALSE,NO
