Measurement,Well,Group,Time,OCR,ECAR,PER,plate_id,Protocol,Interval,LOCR,LECAR,sample_id,x,fitted,residuals,n,mean_err_sq,median_mean_sq_err,is.out.w,mad_mean_sqE,is.out.p,out
1,A02,Oligomycin-CONBIS#24-POST,1,68.33391270290103,55.7809547193241,0,conbis-#24-post,Olig,Int1,4.224406169013395,4.021432497852871,24-post-0,4.224406169013395,4.024838753840864,0.19956741517253102,114,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
2,A02,Oligomycin-CONBIS#24-POST,2,64.92377549496673,47.5521245581419,0,conbis-#24-post,Olig,Int1,4.173213897070095,3.861826468500971,24-post-0,4.173213897070095,4.024838753840862,0.14837514322923345,114,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
3,A02,Oligomycin-CONBIS#24-POST,3,63.17360319455889,42.2445996270713,0,conbis-#24-post,Olig,Int1,4.145886542931827,3.743476526155975,24-post-0,4.145886542931827,4.024838753840825,0.12104778909100121,114,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
4,A02,Oligomycin-CONBIS#24-POST,4,24.93404846317165,73.5763304613275,0,conbis-#24-post,Olig,Int2,3.2162342775790176,4.298323377018595,24-post-0,3.2162342775790176,3.0523353696872952,0.16389890789172237,69,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
5,A02,Oligomycin-CONBIS#24-POST,5,24.23504346261676,80.2894057456621,0,conbis-#24-post,Olig,Int2,3.1877996626778957,4.38563767881987,24-post-0,3.1877996626778957,3.0523353696875057,0.13546429299039006,69,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
6,A02,Oligomycin-CONBIS#24-POST,6,23.39658568866908,79.1567886176501,0,conbis-#24-post,Olig,Int2,3.1525901009770103,4.371430551665495,24-post-0,3.1525901009770103,3.052335369687199,0.1002547312898116,69,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
7,A02,Oligomycin-CONBIS#24-POST,10,16.54449552319172,75.4497755297825,0,conbis-#24-post,Olig,Int4,2.806053449714495,4.323467210123713,24-post-0,2.806053449714495,2.847208651454154,-0.04115520173965924,75,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
8,A02,Oligomycin-CONBIS#24-POST,11,14.792651058307852,80.5917583338129,0,conbis-#24-post,Olig,Int4,2.694130507333902,4.389396390361377,24-post-0,2.694130507333902,2.8472086514542676,-0.15307814412036572,75,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
9,A02,Oligomycin-CONBIS#24-POST,12,14.31794322352624,81.4078986246624,0,conbis-#24-post,Olig,Int4,2.6615135215747525,4.399472303001945,24-post-0,2.6615135215747525,2.847208651454175,-0.18569512987942227,75,0.020085847601457704,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
1,A03,FCCP-CONBIS#24-POST,1,67.22780153464483,57.5790741775854,0,conbis-#24-post,FCCP,Int1,4.208086875286514,4.053159206166007,24-post-0,4.208086875286514,4.1100345101780364,0.09805236510847742,114,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
2,A03,FCCP-CONBIS#24-POST,2,62.338463033903835,50.1062535448285,0,conbis-#24-post,FCCP,Int1,4.1325786194620155,3.9141458215553566,24-post-0,4.1325786194620155,4.110034510178091,0.022544109283925137,114,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
3,A03,FCCP-CONBIS#24-POST,3,59.46845942001029,45.5753217615425,0,conbis-#24-post,FCCP,Int1,4.085446078220865,3.8193663805846207,24-post-0,4.085446078220865,4.110034510178001,-0.024588431957135927,114,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
4,A03,FCCP-CONBIS#24-POST,7,134.24669601235578,104.712206471306,0,conbis-#24-post,FCCP,Int3,4.8996791223774165,4.651215696289235,24-post-0,4.8996791223774165,4.938502596453122,-0.038823474075705876,45,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
5,A03,FCCP-CONBIS#24-POST,8,134.1762789360824,112.139976997927,0,conbis-#24-post,FCCP,Int3,4.899154449868274,4.719747885576252,24-post-0,4.899154449868274,4.938502596453137,-0.039348146584862485,45,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
6,A03,FCCP-CONBIS#24-POST,9,131.0283480898778,112.88803315103,0,conbis-#24-post,FCCP,Int3,4.875413697423216,4.726396470418427,24-post-0,4.875413697423216,4.9385025964531994,-0.06308889902998341,45,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
7,A03,FCCP-CONBIS#24-POST,10,21.841878798611056,92.1744198798828,0,conbis-#24-post,FCCP,Int4,3.083829172754146,4.523682650418633,24-post-0,3.083829172754146,2.932404407791368,0.15142476496277782,75,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
8,A03,FCCP-CONBIS#24-POST,11,21.00248776026662,96.1039639020471,0,conbis-#24-post,FCCP,Int4,3.044640895481627,4.565430562805576,24-post-0,3.044640895481627,2.932404407791375,0.1122364876902518,75,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
9,A03,FCCP-CONBIS#24-POST,12,21.28854815810144,96.6923311642604,0,conbis-#24-post,FCCP,Int4,3.058169282972839,4.571534093877595,24-post-0,3.058169282972839,2.9324044077913363,0.12576487518150278,75,0.009574649107040608,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
1,A04,FCCP-CONBIS#24-POST,1,69.07996634176322,54.1542998468736,0,conbis-#24-post,FCCP,Int1,4.235264766042737,3.9918373765156114,24-post-0,4.235264766042737,4.115622825788481,0.11964194025425565,114,0.010657370765185376,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
2,A04,FCCP-CONBIS#24-POST,2,63.76351633155534,46.9601612725484,0,conbis-#24-post,FCCP,Int1,4.155181182452426,3.84929960976753,24-post-0,4.155181182452426,4.115622825789295,0.03955835666313122,114,0.010657370765185376,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
3,A04,FCCP-CONBIS#24-POST,3,61.00788694074198,43.1960051640261,0,conbis-#24-post,FCCP,Int1,4.111003149926073,3.7657480179192167,24-post-0,4.111003149926073,4.115622825788457,-0.0046196758623850915,114,0.010657370765185376,0.012704199850467246,FALSE,0.009969485925648133,FALSE,NO
