Sample,Basal.Resp,ATP.linked.Resp,Proton.Leak,Spare.Resp.Cpcty,Maximal.Resp,EI,AI,EAi,MI,MEi
24-post-0,42.86997017898726,37.48104874332429,5.388921435662976,81.97530167951791,124.84527185850517,1.2329120442618917,0.9662400538365543,0.2666719904253374,0.8564950957951449,2.0894071400570366
24-pre-1,13.013782534864117,12.220367356889746,0.7934151779743708,11.860737211116259,24.874519745980376,1.2384680188782002,1.0992369896982042,0.13923102917999608,0.4991069527506964,1.7375749716288966
31 post-2,39.83370990915343,37.27185417773191,2.5618557314215202,115.39776921053803,155.23147911969147,1.1182806591594363,0.993888463870074,0.1243921952893623,1.0818501207275668,2.200130779887003
 42 pre-2,86.13299366438513,76.55601983085502,9.576973833530104,361.4672193194455,447.60021298383066,1.1833345336914851,0.9586973364528877,0.22463719723859743,1.3638899763676786,2.5472245100591637
33-pre-3,22.94487962391308,20.3630151008566,2.581864523056481,49.301432132535076,72.24631175644815,1.1709141871773499,0.9474822495842856,0.22343193759306423,0.909232680563755,2.080146867741105
34-post-4,33.847939584610494,33.19895895037724,0.64898063423325425,73.86399740341554,107.71193698802603,1.0719818670476795,1.03580881230851,0.03617305473916943,0.8900242432211996,1.962006110268879
34-pre-5,21.82711624718138,17.904245969500522,3.9228702776808593,23.99689446418255,45.82401071136393,1.336552577712757,0.9282319625859587,0.4083206151267982,0.5936241712763017,1.9301767489890587
S-36pre-6,24.69731074162438,21.727993614154563,2.969317127469818,63.56138890624492,88.2586996478693,0.9502260289668092,0.7756699253395891,0.17455610362722007,0.9472147889285618,1.897440817895371
S-43pre-6,23.85909322400574,21.735667411181595,2.123425812824145,56.068296554059536,79.92738977806528,0.9799856803577263,0.8418503872314678,0.1381352931262585,0.9034045801297088,1.883390260487435
36-pre-7,24.974623412078394,22.308688886751547,2.6659345253268487,44.513380808648876,69.48800422072728,1.1281550981779174,0.9267719479952126,0.2013831501827048,0.7909654428226087,1.919120541000526
39-post-8,25.756768219243796,24.53453422347458,1.2222339957692174,71.09698119188832,96.85374941113211,1.2310805436408332,1.122163412184631,0.1089171314562023,1.0832860736815588,2.314366617322392
39-pre-9,24.750203243848503,24.961262955988296,-0.21105971213979124,59.849705274218444,84.59990851806694,1.1580693408405596,1.1768673171764372,-0.018797976335877653,0.9778103751863192,2.1358797160268788
42 post-10,15.192653542882926,15.064287380658289,0.12836616222463615,31.93701476153436,47.12966830441729,1.43379555701061,1.4071615996677609,0.026633957342849124,0.9558888401226842,2.389684397133294
#46 pre-10,23.41380108543884,23.398423617945017,0.015377467493822294,20.933726369740462,44.3475274551793,1.5111461506818489,1.50882917867759,0.0023169720042588438,0.528739544287101,2.03988569496895
43 post-11,30.31217439127455,28.76909953375833,1.5430748575162205,54.30117420415373,84.61334859542828,1.0452236930067613,0.9554994228569025,0.08972427014985884,0.7708112216447334,1.8160349146514947
 49 pre-11,26.925681676010647,24.05241943032922,2.873262245681426,41.72383642075898,68.64951809676963,0.9929522496646106,0.8263179714184421,0.1666342782461685,0.6808202503707297,1.6737725000353403
46 post-12,38.43769014127413,34.410783925132385,4.026906216141743,78.54555671068832,116.98324685196245,1.2704095347769968,1.0326222860489622,0.23778724872803458,0.9041455538155709,2.1745550885925677
 40 pre-12,34.06195800606726,29.652814743352497,4.409143262714764,76.1592119262136,110.22116993228086,1.4609374135534354,1.1043390679030023,0.35659834565043314,0.9995766355254525,2.460514049078888
49-post-13,16.022739358955022,19.268904716606897,-3.246165357651874,44.69250370467349,60.71524306362851,0.6125675667162533,0.8003775262462365,-0.18780995952998314,0.8231335258776897,1.435701092593943
