Sample,Interval,Estimate
 40 pre-12,Int1,3.792171023481227
 40 pre-12,Int2,2.6878319555782246
 40 pre-12,Int3,4.791747659006679
 40 pre-12,Int4,2.3312336099277915
 40 pre-12,norm.Int1,44.35258633349199
 40 pre-12,norm.Int2,14.699771590139495
 40 pre-12,norm.Int3,120.51179825970559
 40 pre-12,norm.Int4,10.29062832742473
 42 pre-2,Int1,4.821544533817229
 42 pre-2,Int2,3.8628471973643412
 42 pre-2,Int3,6.1854345101849075
 42 pre-2,Int4,3.638210000125744
 42 pre-2,norm.Int1,124.15670699545863
 42 pre-2,norm.Int2,47.60068716460361
 42 pre-2,norm.Int3,485.62392631490417
 42 pre-2,norm.Int4,38.02371333107351
 49 pre-11,Int1,3.755880294376842
 49 pre-11,Int2,2.9295623229584
 49 pre-11,Int3,4.436700544747572
 49 pre-11,Int4,2.7629280447122313
 49 pre-11,norm.Int1,42.77185506657212
 49 pre-11,norm.Int2,18.719435636242903
 49 pre-11,norm.Int3,84.4956914873311
 49 pre-11,norm.Int4,15.846173390561477
#46 pre-10,Int1,3.4026295665938364
#46 pre-10,Int2,1.8938003879162464
#46 pre-10,Int3,3.9313691108809374
#46 pre-10,Int4,1.8914834159119875
#46 pre-10,norm.Int1,30.042996329949027
#46 pre-10,norm.Int2,6.64457271200401
#46 pre-10,norm.Int3,50.97672269968949
#46 pre-10,norm.Int4,6.629195244510187
24-post-0,Int1,4.102695858053092
24-post-0,Int2,3.136455804216538
24-post-0,Int3,4.959190953848237
24-post-0,Int4,2.8697838137912006
24-post-0,norm.Int1,60.50317591084178
24-post-0,norm.Int2,23.022127167517496
24-post-0,norm.Int3,142.4784775903597
24-post-0,norm.Int4,17.63320573185452
24-pre-1,Int1,2.9082569191066647
24-pre-1,Int2,1.8090199294084606
24-pre-1,Int3,3.407363871857361
24-pre-1,Int4,1.6697889002284645
24-pre-1,norm.Int1,18.32482905299198
24-pre-1,norm.Int2,6.104461696102234
24-pre-1,norm.Int3,30.18556626410824
24-pre-1,norm.Int4,5.311046518127863
31 post-2,Int1,4.080487649313406
31 post-2,Int2,3.0865991854433323
31 post-2,Int3,5.162337770040973
31 post-2,Int4,2.96220699015397
31 post-2,norm.Int1,59.174319131240075
31 post-2,norm.Int2,21.90246495350817
31 post-2,norm.Int3,174.5720883417781
31 post-2,norm.Int4,19.34060922208665
33-pre-3,Int1,3.504279269129479
33-pre-3,Int2,2.5567970195451935
33-pre-3,Int3,4.413511949693234
33-pre-3,Int4,2.333365081952129
33-pre-3,norm.Int1,33.25746553040023
33-pre-3,norm.Int2,12.894450429543634
33-pre-3,norm.Int3,82.55889766293531
33-pre-3,norm.Int4,10.312585906487152
34-post-4,Int1,3.9409291992771736
34-post-4,Int2,2.9051203869686635
34-post-4,Int3,4.830953442498373
34-post-4,Int4,2.868947332229494
34-post-4,norm.Int1,51.46640163226621
34-post-4,norm.Int2,18.267442681888973
34-post-4,norm.Int3,125.33039903568175
34-post-4,norm.Int4,17.61846204765572
34-pre-5,Int1,3.387981182730277
34-pre-5,Int2,2.4597492201443183
34-pre-5,Int3,3.981605354006579
34-pre-5,Int4,2.05142860501752
34-pre-5,norm.Int1,29.60612254656277
34-pre-5,norm.Int2,11.701876577062247
34-pre-5,norm.Int3,53.60301701074532
34-pre-5,norm.Int4,7.779006299381388
